,tsp_file,tsplib-tsp_20_tsp20_dcd_global-greedy-t1-0-59,tsplib-tsp_50_tsp50_dcd_global-greedy-t1-0-59,tsplib-tsp_100_tsp100_dcd_local-greedy-t1-0-59,tsplib-tsp_100_tsp100_dcd_global-greedy-t1-0-59,tsplib-tsp_50_tsp50_dcd_local-greedy-t1-0-59,tsplib-tsp_50_tsp50_dcd_random-greedy-t1-0-59,tsplib-tsp_20_tsp20_dcd_local-greedy-t1-0-59,tsplib-tsp_20_tsp20_default-greedy-t1-0-59,tsplib-tsp_100_tsp100_default-greedy-t1-0-59,tsplib-tsp_50_tsp50_default-greedy-t1-0-59,tsplib-tsp_20_tsp20_dcd_random-greedy-t1-0-59,tsplib-tsp_100_tsp100_dcd_random-greedy-t1-0-59
0,a280.npy,4516.416571766085,4222.574318579947,4242.412453125944,4542.863183734953,4339.781525188072,4500.681743269942,4553.68364224752,4408.981650558962,4626.978135028622,4303.179677677802,4666.592304097848,4494.1005522207115
1,berlin52.npy,9809.521651045125,9385.239503313804,13359.01530383788,11188.305422289199,9510.833859423017,9633.645474998051,9253.166034532283,9091.403723194522,10522.852428262493,9533.440313476858,9390.302835714338,10183.125141905262
2,bier127.npy,186449.66021060644,180322.5828595579,211412.08036418742,300879.27602725255,183389.2590078051,201596.65518034154,160974.08695351504,153438.2753081554,173208.18714696798,186734.74526811222,165209.25921091865,222569.72903730127
3,ch130.npy,9135.397813849135,8287.384428272091,8597.933244063604,8153.216345912891,8695.394190265024,7922.5325361502155,8775.589082782113,8053.500035870807,8637.069233588254,9174.232974244602,8431.673872497526,9161.164854317507
4,ch150.npy,9513.397698803257,8437.381094060707,8520.674128190654,9127.914823149347,8853.823804676971,8485.646384813037,9505.236779582377,9689.196344321883,9495.886139176717,8578.840990757923,9598.537740391645,8629.913125105
5,d1291.npy,119298.2453208986,113346.72930829266,139304.4651180112,121959.61269491827,137342.4948087428,114457.3790738396,113394.90980677964,117655.21057448708,485985.41765725764,221938.10622629605,122430.91634951878,125408.36811876841
6,d198.npy,27423.62977331121,76055.06762164939,66288.11344916199,32866.60664225811,39751.36602288964,62716.31850656948,36921.24937103001,52785.19191380329,49804.6736683744,30895.03345841051,29517.83867760683,163120.54337255837
7,d493.npy,90769.11464383373,87354.20122309726,162713.6062132223,95651.56954943638,95367.27197245124,162922.70719613298,72835.74951827942,73478.1799817297,352826.71415426437,86907.39310777075,69999.5354343478,196808.3018188254
8,d657.npy,101817.89903834007,117382.1838739068,105629.64420835683,108734.0348169587,111080.08432909183,132865.8867773657,100298.0907633337,95580.06846461838,121678.52636865614,106474.13002489443,104198.23989613725,142217.48620589596
9,eil101.npy,818.39335205229,788.2723402891684,815.7754333946621,794.5533412466042,779.7605002179936,764.1873094354991,854.4434742784028,832.9727780125106,853.726823220504,900.7301887352664,835.9104934481916,897.5055033431207
